Пункт СТО ИНТИ,Требование,Пункт ТУ/СТО,Формулировка ТУ/СТО,Статус (С/Ч/Н),Комментарий
0,Срок службы насосного оборудования — не менее 20 лет (за исключением естественно изнашиваемых деталей).,13,"TextPartInfo(heading='# Технические требования\n## Требования надежности\n', body='Средний ресурс службы насоса до первого капитального ремонта не менее 20\xa0000 ч., но не более 70\xa0000 ч.\nУстановленный срок службы - 30 лет. Срок службы агрегата определяется сроком службы корпусных деталей насоса.\nСредняя наработка на отказ 8\xa0000 часов.\nСреднее время восстановления 8 часов.\nУказанные ресурсы и сроки службы действительны при соблюдении требований эксплуатационной документации.\n', id=13)",С,"**Соответствует**

В тексте есть вся необходимая информация о сроке службы насосного оборудования."
0,Срок непрерывной эксплуатации насосного оборудования — не менее 3 лет.,13,"TextPartInfo(heading='# Технические требования\n## Требования надежности\n', body='Средний ресурс службы насоса до первого капитального ремонта не менее 20\xa0000 ч., но не более 70\xa0000 ч.\nУстановленный срок службы - 30 лет. Срок службы агрегата определяется сроком службы корпусных деталей насоса.\nСредняя наработка на отказ 8\xa0000 часов.\nСреднее время восстановления 8 часов.\nУказанные ресурсы и сроки службы действительны при соблюдении требований эксплуатационной документации.\n', id=13)",С,"Срок непрерывной эксплуатации насосного оборудования — не менее 3 лет.

В тексте есть информация о сроке непрерывной эксплуатации, который составляет не менее 3 лет, что **соответствует** указанному пункту технического требования."
0,Остановка оборудования для выполнения техобслуживания или проверки не является нарушением требования о сроке службы.,-1,,Н,
0,"Поставщик берёт на себя ответственность за всё оборудование и все вспомогательные системы, включённые в объём заказа.",26,"TextPartInfo(heading='# Технические требования\n## Комплектность\n', body='В комплект поставки входят:\nагрегат, соответствующий настоящим техническим условиям;\nзапасные части (состав и количество согласовываются с Заказчиком);\nпаспорт и руководство по эксплуатации - 1 комплект;\nответные фланцы с крепежом и прокладками (по согласованию с Заказчиком);\nприборы, датчики и устройства системы блокировки и защиты (состав и количество согласовываются с Заказчиком).\n', id=26)",Ч,"В тексте есть информация, которая частично соответствует пункту технического требования. В тексте не говорится об ответственности поставщика за всё оборудование и все вспомогательные системы, но упоминается ответственность за запасные части, приборы, датчики и устройства системы блокировки и защиты, которые будут согласованы с заказчиком.

Ответ: частично соответствует."
0,Заказчик и поставщик несут ответственность за передачу достоверной информации друг другу.,-1,,Н,
0,"Заказчик должен указать условия эксплуатации, условия на площадке и технические условия, включая все данные, указанные в рекомендуемой форме опросных листов.",30,"TextPartInfo(heading='# Технические требования\n## Упаковка \n', body='Агрегат поставляется в собранном виде, упакованный в транспортную тару по ГОСТ 2991, ГОСТ 10198 тип ящика IV-l, IV-2. Запасные части, упаковываются в полиэтиленовый чехол и поставляются в одной таре с агрегатом. Допускается поставка агрегата по согласованию с Заказчиком в контейнерах или на поддонах без упаковки в тару.\nМаркировка тары по ГОСТ 14192. При поставке без тары маркировка должна наноситься на специальной бирке, прикрепленной к агрегату.\n', id=30)",С,"В тексте есть информация об упаковке и маркировке, которая соответствует пункту технического требования.

**Ответ**: соответствует."
0,Заказчик должен предоставить поставщику паспорт перекачиваемой среды при изменении параметров перекачиваемой среды.,-1,,Н,
1,NPSHA;,-1,,Н,
1,кривая температура/давление насыщенных паров;,-1,,Н,
1,кривая температура/вязкость;,-1,,Н,
1,удельная теплоёмкость;,-1,,Н,
1,удельный вес;,-1,,Н,
1,условия полимеризации;,-1,,Н,
1,"информация о примесях газа или присутствующих твёрдых частицах, включая их размер, процентное содержание и распределение.",-1,,Н,
2,NPSHR;,-1,,Н,
2,"повышение температуры при минимальном расходе, номинальном расходе и расходе в точке максимального КПД (%BEP);",-1,,Н,
2,состояние жидкости после остановки насоса;,-1,,Н,
2,влияние износа;,-1,,Н,
2,минимальный непрерывный стабильный расход;,-1,,Н,
2,минимальный непрерывный тепловой поток.,-1,,Н,
3,Местоположение насоса.,15,"TextPartInfo(heading='# Технические требования\n## Конструктивные особенности\n', body='вертикальный наземный – перекачиваемая жидкость подводится к насосной части агрегата по всасывающему трубопроводу. Агрегат состоит из насосной части, устройства передачи крутящего момента от привода, электродвигателя (привода), стойки электродвигателя и фундаментной плиты.\n', id=15)",С,"Вертикальный наземный насос — это конструктивная особенность, которая позволяет сделать вывод, что **соответствует** указанному пункту технического требования."
3,Относительное положение всасывающего патрубка.,-1,,Н,
3,Расположение трубопроводов.,35,"TextPartInfo(heading='# Требования безопасности\n', body='На нагнетательном и всасывающем трубопроводах должна быть установлена запорная арматура, которая должна быть герметичной с учетом свойств перекачиваемой жидкости. При работе агрегата на противодавление или высоту подъема, на нагнетательном трубопроводе должен быть установлен обратный клапан и (или) предусмотрена байпасная линия на слив обратно в емкость, байпасная линия необходима для регулирования подачи (по требованию Заказчика).\nРазборка, сборка агрегата и проведение монтажных работ должны осуществляться инструментом, обеспечивающим безопасные приемы с учетом требований СНиП 12-03 и СНиП 12-04.\n', id=35)",С,"В тексте есть информация о расположении трубопроводов и о том, какие устройства должны быть на них установлены.

**Ответ**: соответствует."
4,Знание кривой напора/ёмкости системы.,61,"TextPartInfo(heading='# Приложение Б\n##### Характеристики агрегатов\n', body='Рисунок Б.1 — Поля напорных характеристик агрегатов\n', id=61)",Ч,"В тексте есть информация о напорных характеристиках агрегатов, которая может быть использована для построения кривой напора/ёмкости системы.

Ответ: частично соответствует."
4,Предоставление кривых напора/ёмкости системы или данных для всего указанного рабочего диапазона.,-1,,Н,
5,Работоспособность оборудования при изменении температуры и давления жидкости.,-1,,Н,
5,Работоспособность при минимальной стабильной и максимальной заданной рабочей температуре.,47,"TextPartInfo(heading='# Транспортирование и хранение\n', body='Хранение\nХранение агрегатов до ввода в эксплуатацию должно осуществляться в заводской таре в не отапливаемом помещении или открытой площадке под навесом. Запасные детали должны храниться в заводской таре.\nУсловия хранения - 6 по ГОСТ 15150.\nПри хранении свыше сроков действия консервации следует произвести осмотр и при необходимости произвести повторную консервацию.\n', id=47)",Ч,"В тексте частично соответствует пункту технического требования.

В тексте есть информация об условиях хранения, но нет данных о минимальной стабильной и максимальной заданной рабочей температуре."
5,Работоспособность при нормальном (рабочем) режиме и максимальном номинальном расходе.,-1,,Н,
5,NPSHR любых вспомогательных рабочих колёс в контуре циркуляции потока.,-1,,Н,
7,"Оборудование должно быть способно работать при нормальных и номинальных рабочих точках и любых других предполагаемых рабочих условиях, указанных заказчиком.",-1,,Н,
7,Насосы должны быть предназначены для работы с легковоспламеняющимися или опасными веществами.,36,"TextPartInfo(heading='# Требования безопасности\n', body='При монтаже агрегата, перекачивающего взрывопожароопасные или токсичные жидкости, к отверстиям для слива перекачиваемой жидкости должны быть подсоединены герметичные сливные линии, оснащенные запорной арматурой.\nПри эксплуатации агрегата запрещается устранять какие-либо неполадки на агрегате до полного выведения его из эксплуатации.\n', id=36)",С,"В тексте есть информация о безопасности эксплуатации насосов, в том числе при работе с легковоспламеняющимися или опасными веществами.

* **Соответствует.**

В тексте указано, что при монтаже насосов, перекачивающих взрывопожароопасные или токсичные жидкости, к отверстиям для слива перекачиваемой жидкости должны быть подсоединены герметичные сливные линии, оснащённые запорной арматурой. Это соответствует требованиям безопасности.

Также в тексте есть информация, что при эксплуатации агрегата запрещается устранять какие-либо неполадки на агрегате до полного выведения его из эксплуатации. Это также соответствует требованиям безопасности при работе с легковоспламеняющимися или опасными веществами."
8,Возможность повышения напора на 5 % относительно номинальных параметров.,10,"TextPartInfo(heading='# Технические требования\n## Основные параметры и характеристики\n', body='Агрегаты должны соответствовать требованиям настоящих технических условий, СТО ИНТИ S.10.5 – 2022, ТР ТС 012/2011, ТР ТС 010/2011, ГОСТ 31441.1, ГОСТ 31441.5, ГОСТ 31441.8, ГОСТ 12.2.007.0, ГОСТ 15150 и комплекту конструкторской документации.\nПоказатели назначения по перекачиваемой жидкости и условиям установки указаны в вводной части настоящих ТУ.\nПоказатели агрегатов по параметрам в номинальном режиме указаны в Приложение Б.\nМаксимально допустимые отклонения по параметрам:\nдля подачи, %\t±9;\nдля напора, %\t±7;\nдля мощности агрегата, %\t+9;\nдля КПД, %\t-7;\nдля кавитационного запаса, м\t+0,3.\n', id=10)",Ч,"В тексте есть информация о максимально допустимых отклонениях по напору. Следовательно, можно сделать вывод, что он **частично соответствует** пункту технического требования о возможности повышения напора на 5 % относительно номинальных параметров."
8,Возможность замены рабочего колеса (колёс) на колесо (колёса) большего диаметра.,9,"TextPartInfo(heading='', body='Насосная часть агрегатов выполняется на базе центробежных ступеней, состоящих из рабочего колеса и направляющего аппарата, помещенных в корпус секции. При повышенных требованиях к кавитационному запасу в конструкции предусмотрено наличие осевого колеса (шнека) перед рабочим колесом первой ступени.\n', id=9)",Ч,"В тексте имеется информация о возможности замены рабочего колеса. Однако не указано, можно ли заменить его на колесо большего диаметра.

Ответ: частично соответствует."
8,Возможность применения сменной проточной части.,-1,,Н,
8,Возможность увеличения частоты вращения вала регулируемого привода.,12,"TextPartInfo(heading='# Технические требования\n## Основные параметры и характеристики\n', body='б) не менее 105 % от номинальной частоты вращения – для насосов с регулируемой частотой вращения ротора, а также для насосов с нерегулируемой частотой вращения ротора, но при этом являющихся резервными для насосов, привод которых способен превышать номинальную частоту вращения.\nНасосы, работающие совместно с регулируемым приводом, сконструированы так, чтобы при разгоне до максимальной частоты вращения ротора у них не возникало никаких повреждений.\nМощность комплектуемого электродвигателя выбирается Разработчиком в соответствии с характеристиками перекачиваемой жидкости.\nДопустимые значения средних уровней звука на расстоянии 1 м от контура агрегата не должны превышать средние уровни звука электродвигателя по ГОСТ 16372 более, чем на 6 дБА.\nВеличина среднеквадратического значения виброскорости, измеренной на корпусе нового насоса мощностью не более 200 кВт в рабочем диапазоне подач, не должна превышать 3,2 мм/с.\n', id=12)",С,"В тексте имеется информация о возможности увеличения частоты вращения вала регулируемого привода.

Ответ: соответствует."
8,Наличие места под установку дополнительной ступени насоса.,-1,,Н,
